数据库：年度数据
时间：最近10年
指标,2022年,2021年,2020年,2019年,2017年,2016年,2015年,2014年
企业法人单位数(个),32828734,28665212,25055456,21091270,18097682,14618448,12593254,10617154
内资企业法人单位数(个),32532959,28383434,24784352,20840125,17830471,14378293,12355798,10385200
国有企业法人单位数(个),83287,78357,82155,74547,133223,132373,133631,130216
集体企业法人单位数(个),106805,103534,106926,103163,155641,141442,144856,147251
股份合作企业法人单位数(个),33315,31729,31119,28333,62350,67654,68593,69767
联营企业法人单位数(个),6109,5631,5973,5657,16550,20094,21006,21402
有限责任公司法人单位数(个),2060569,1711337,1557067,1546236,2368950,2532423,2219754,1848091
股份有限公司法人单位数(个),117052,106993,110713,121544,151259,174881,158864,145986
私营企业法人单位数(个),30008786,26288321,22835565,18921928,14368860,10500697,8656494,7266188
港、澳、台商投资企业法人单位数(个),153328,146575,143350,133752,130214,117764,115168,112076
外商投资企业单位法人单位数(个),142447,135203,127754,117393,136997,122391,122288,119878
注：根据经济普查数据和相关统计资料对2013年各类型法人单位数进行了修订。
数据来源：国家统计局
